Id,name,Role,Position,team,Opp,base,estimated_std_dev,team_share,implied_team_total
36825775,Denver Broncos,CPT,DST,Broncos,CLE,15.649999999999999,7.814800784798368,0.05878044658115645,24.738
36825724,Denver Broncos,FLEX,DST,Broncos,CLE,10.434999999999999,6.378681908221177,0.03919322428590208,24.738
36825781,Cleveland Browns,CPT,DST,Browns,DEN,6.9350000000000005,5.197930942262167,0.032160827323950196,17.928
36825730,Cleveland Browns,FLEX,DST,Browns,DEN,4.625,4.2431384869184905,0.021448280659447677,17.928
36825768,Javonte Williams,CPT,RB,Broncos,CLE,17.6,8.288349820298523,0.06610452778455934,24.738
36825717,Javonte Williams,FLEX,RB,Broncos,CLE,11.735,6.765147286531055,0.044075945088170664,24.738
36825760,Courtland Sutton,CPT,WR,Broncos,CLE,23.675,9.615801952174616,0.08892185768746831,24.738
36825709,Courtland Sutton,FLEX,WR,Broncos,CLE,15.780000000000001,7.847256213667276,0.059268718661383314,24.738
36825764,Jerry Jeudy,CPT,WR,Browns,DEN,19.705,8.770998206460346,0.09138126927446842,17.928
36825713,Jerry Jeudy,FLEX,WR,Browns,DEN,13.135,7.158131868739207,0.0609131170728314,17.928
36825767,Elijah Moore,CPT,WR,Browns,DEN,14.855,7.613326006237432,0.06888955874510168,17.928
36825716,Elijah Moore,FLEX,WR,Browns,DEN,9.905,6.214258579454973,0.045934101606882,17.928
36825788,Pierre Strong Jr.,CPT,RB,Browns,DEN,1.015,1.9847495553886214,0.004707028079857165,17.928
36825737,Pierre Strong Jr.,FLEX,RB,Browns,DEN,0.675,1.6178841350763065,0.003130289609757229,17.928
36825783,Lil'Jordan Humphrey,CPT,WR,Broncos,CLE,7.795,5.5114529214423005,0.02927754511821818,24.738
36825732,Lil'Jordan Humphrey,FLEX,WR,Broncos,CLE,5.195,4.497535372110795,0.01951210351368101,24.738
36825763,Nick Chubb,CPT,RB,Browns,DEN,14.989999999999998,7.647911332433009,0.06951561666705312,17.928
36825712,Nick Chubb,FLEX,RB,Browns,DEN,9.99,6.240918853303577,0.04632828622440699,17.928
36825765,David Njoku,CPT,TE,Browns,DEN,17.52,8.269453532766583,0.08124840587103208,17.928
36825714,David Njoku,FLEX,TE,Browns,DEN,11.68,6.749243398071182,0.05416560391402138,17.928
36825780,Jerome Ford,CPT,RB,Browns,DEN,9.09,5.952600433652911,0.04215456674473068,17.928
36825729,Jerome Ford,FLEX,RB,Browns,DEN,6.0600000000000005,4.858307628067251,0.028103044496487123,17.928
36825804,Jaelon Darden,CPT,WR,Browns,DEN,3.2,3.5281445109614857,0.01483989148329353,17.928
36825753,Jaelon Darden,FLEX,WR,Browns,DEN,2.135,2.880676990692721,0.009900990099009901,17.928
36825787,Adam Trautman,CPT,TE,Broncos,CLE,5.23,4.512690744732154,0.019643561381434395,24.738
36825736,Adam Trautman,FLEX,TE,Broncos,CLE,3.485,3.682220742846128,0.01308944768915848,24.738
36825762,Jameis Winston,CPT,QB,Browns,DEN,19.799999999999997,8.792158050250487,0.0918218285528787,17.928
36825711,Jameis Winston,FLEX,QB,Browns,DEN,13.2,7.175856837495148,0.061214552368585806,17.928
36825806,Kadarius Toney,CPT,WR,Browns,DEN,1.01,1.9798451973775562,0.00468384074941452,17.928
36825755,Kadarius Toney,FLEX,WR,Browns,DEN,0.675,1.6178841350763065,0.003130289609757229,17.928
36825777,Dustin Hopkins,CPT,K,Browns,DEN,9.45,6.0695649372511715,0.0438240545366012,17.928
36825726,Dustin Hopkins,FLEX,K,Browns,DEN,6.3,4.953770030823522,0.029216036357734135,17.928
36825776,Wil Lutz,CPT,K,Broncos,CLE,13.155000000000001,7.163590357801391,0.04940937857987944,24.738
36825725,Wil Lutz,FLEX,K,Broncos,CLE,8.77,5.8466759305559695,0.03293958571991962,24.738
36825785,Jordan Akins,CPT,TE,Browns,DEN,6.48,5.02418131579667,0.030050780253669397,17.928
36825734,Jordan Akins,FLEX,TE,Browns,DEN,4.32,4.100563893610599,0.020033853502446266,17.928
36825789,Lucas Krull,CPT,TE,Broncos,CLE,3.12,3.4836753678950196,0.01171852992544461,24.738
36825738,Lucas Krull,FLEX,TE,Broncos,CLE,2.08,2.8432559521164094,0.00781235328362974,24.738
36825793,Michael Burton,CPT,RB,Broncos,CLE,1.6,2.493046261685476,0.0060095025258690305,24.738
36825742,Michael Burton,FLEX,RB,Broncos,CLE,1.065,2.0331451257687005,0.004000075118781573,24.738
36825778,Jaleel McLaughlin,CPT,RB,Broncos,CLE,7.805,5.514994107678409,0.02931510450900486,24.738
36825727,Jaleel McLaughlin,FLEX,RB,Broncos,CLE,5.205,4.501870663903863,0.01954966290446769,24.738
36825792,Nate Adkins,CPT,TE,Broncos,CLE,0.97,1.9401658901384136,0.0036432609063080995,24.738
36825741,Nate Adkins,FLEX,TE,Broncos,CLE,0.645,1.581450646790405,0.002422580705740953,24.738
36825782,Marvin Mims Jr.,CPT,WR,Broncos,CLE,6.93,5.196053053278812,0.026028657815170237,24.738
36825731,Marvin Mims Jr.,FLEX,WR,Broncos,CLE,4.619999999999999,4.240839691149095,0.017352438543446824,24.738
36825791,Blake Whiteheart,CPT,TE,Browns,DEN,0.165,0.798777240790429,0.0007651819046073226,17.928
36825740,Blake Whiteheart,FLEX,TE,Browns,DEN,0.11,0.6519344957405772,0.000510121269738215,17.928
36825779,Audric Estime,CPT,RB,Broncos,CLE,7.02,5.229752296905146,0.02636669233225037,24.738
36825728,Audric Estime,FLEX,RB,Broncos,CLE,4.68,4.268343854110263,0.017577794888166912,24.738
36825769,Devaughn Vele,CPT,WR,Broncos,CLE,13.36,7.219302863726104,0.050179346091006403,24.738
36825718,Devaughn Vele,FLEX,WR,Broncos,CLE,8.905,5.891594146133894,0.03344663749553982,24.738
36825790,Jamari Thrash,CPT,WR,Browns,DEN,5.165,4.484504451148063,0.02395251234725346,17.928
36825739,Jamari Thrash,FLEX,WR,Browns,DEN,3.4450000000000003,3.660985666294422,0.015976070674983193,17.928
36825761,Bo Nix,CPT,QB,Broncos,CLE,28.645,10.579074810545205,0.10758887490844898,24.738
36825710,Bo Nix,FLEX,QB,Broncos,CLE,19.1,8.635031837412493,0.07173843640256156,24.738
36825784,Troy Franklin,CPT,WR,Broncos,CLE,7.195,5.294667061961236,0.027023981671017296,24.738
36825733,Troy Franklin,FLEX,WR,Broncos,CLE,4.795,4.320572733320352,0.01800972788221375,24.738
